Название,Издатель,Продажи (млн),Дата выхода,Жанр,Цена
Grand Theft Auto,Rockstar Games,440.00m,27th Mar 98,Action,$58.37
Minecraft,Mojang,300.00m,18th Nov 11,"Action, Adventure, Casual + 1",$13.69
Grand Theft Auto V,Rockstar Games,210.00m,17th Sep 13,"Action, Adventure",$9.34
Assassin's Creed,Ubisoft,200.00m,13th Nov 07,"Action, Adventure",$2.54
The Sims,Electronic Arts,200.00m,04th Feb 00,Simulation,$28.48
Resident Evil,Capcom,167.00m,30th Mar 96,"Action, Adventure",$3.56
Tomb Raider,Eidos Interactive,153.00m,14th Nov 96,"Action, Adventure",$2.44
Need for Speed,Electronic Arts,150.00m,31st Aug 94,Racing,$14.82
Borderlands,2K Games,91.00m,20th Oct 09,"Action, RPG",$4.99
God of War,Sony Interactive Entertainment,76.55m,22nd Mar 05,"Action, Adventure, RPG",$18.99
Worms,Team17,75.00m,31st Oct 95,Strategy,$0.98
Red Dead Redemption 2,Rockstar Games,70.00m,26th Oct 18,"Action, Adventure",$12.56
The Oregon Trail,MECC,65.00m,03rd Dec 71,"Adventure, Casual",$26.96
Counter-Strike,Valve,65.00m,09th Nov 00,Action,$9.99
The Elder Scrolls V: Skyrim,Bethesda Softworks,60.00m,10th Nov 11,RPG,$5.92
Terraria,505 Games,58.70m,16th May 11,"Action, Adventure, Indie + 1",$2.52
Far Cry,Ubisoft,52.50m,23rd Mar 04,Action,$2.19
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,50.00m,18th May 15,RPG,$10.92
BioShock,2K Games,43.00m,21st Aug 07,"Action, RPG",$4.76
Stardew Valley,Chucklefish,41.00m,26th Feb 16,"Indie, RPG, Simulation",$14.20
Medal of Honor,Electronic Arts,39.00m,31st Oct 99,Action,$5.70
Tom Clancy's Ghost Recon,Ubisoft,35.00m,13th Nov 01,Action,$1.41
Saints Row,THQ,33.70m,29th Aug 06,"Action, Adventure",$2.39
Horizon,Sony Interactive Entertainment,32.70m,28th Feb 17,"Adventure, Indie, Simulation + 1",$4.39
Tom Clancy's Splinter Cell,Ubisoft,31.00m,17th Nov 02,Action,$2.24
Call of Duty: Black Ops II,Activision,31.00m,13th Nov 12,Action,$27.84
Call of Duty: Black Ops,Activision,30.00m,09th Nov 10,Action,$39.99
Borderlands 2,2K Games,30.00m,18th Sep 12,"Action, RPG",$2.98
Diablo III,Blizzard Entertainment,30.00m,15th May 15,"Action, RPG",$9.99
Cyberpunk 2077,CD Projekt Red Studio,30.00m,10th Dec 20,RPG,$29.93
Dying Light,Techland,30.00m,27th Jan 15,"Action, RPG",$4.08
Hogwarts Legacy,Warner Bros. Interactive Entertainment,30.00m,10th Feb 23,"Action, Adventure, RPG",$12.93
Call of Duty: Vanguard,Activision,30.00m,05th Nov 21,Action,$59.99
Monster Hunter: World,Capcom,28.10m,26th Jan 18,Action,$6.98
Grand Theft Auto: San Andreas,Rockstar Games,27.50m,26th Oct 04,Action,$51.50
Portal,Valve,27.03m,10th Oct 07,Action,$9.99
FIFA 18,Electronic Arts,26.40m,26th Sep 17,Sports,$125.54
Grand Theft Auto IV,Rockstar Games,25.00m,02nd Dec 08,"Action, Adventure",$6.82
Fallout 4,Bethesda Softworks,25.00m,10th Nov 15,RPG,$5.29
Borderlands 3,2K Games,22.00m,13th Sep 19,"Action, RPG",$4.63
Phasmophobia,Kinetic Games,22.00m,18th Sep 20,"Action, Early Access, Indie",$14.99
Battlefield 1,Electronic Arts,21.00m,21st Oct 16,Action,$7.48
Prince of Persia,Ubisoft,20.00m,03rd Aug 89,"Action, Adventure",$1.96
Rayman Raving Rabbids,Ubisoft,20.00m,19th Nov 06,"Action, Adventure",$0.92
Sniper Elite,Rebellion Developments,20.00m,18th Oct 05,Action,$3.11
SimCity,Maxis,20.00m,02nd Feb 89,05 Mar 2013,$6.55
Tom Clancy's The Division,Ubisoft,20.00m,08th Mar 16,"Action, Adventure, RPG",$3.96
FIFA 19,EA Sports,20.00m,28th Sep 18,Sports,$69.73
Crash Bandicoot N. Sane Trilogy,Activision,20.00m,30th Jun 17,Action,$15.99
It Takes Two,Electronic Arts,20.00m,26th Mar 21,"Action, Adventure",$12.92
Call of Duty: Ghosts,Activision,19.00m,05th Nov 13,Action,$27.84
The Elder Scrolls Online,Bethesda Softworks,18.00m,04th Apr 14,"Action, Adventure, Massively Multiplayer + 1",$5.29
Black Myth: Wukong,Game Science,18.00m,20th Aug 24,"Action, Adventure, RPG",$49.43
Grand Theft Auto: Vice City,Rockstar Games,17.50m,29th Oct 02,Action,$37.25
Garry's Mod,Valve,16.90m,29th Nov 06,"Casual, Indie, Simulation",$5.99
Dead Island,Deep Silver,16.00m,06th Sep 11,"Action, RPG",$23.01
Call of Duty: World at War,Activision,15.70m,11th Nov 08,Action,$19.99
Resident Evil 5,Capcom,15.30m,13th Mar 09,"Action, Adventure",$4.50
Counter-Strike: Source,VU Games,15.00m,16th Nov 04,Action,$9.89
Just Cause,Eidos Interactive,15.00m,27th Sep 06,Action,$1.38
Gex,BMG Interactive Entertainment,15.00m,01st Apr 95,"Action, Adventure",$1.49
Battlefield 3,Electronic Arts,15.00m,25th Oct 11,28 Oct 2011,$3.20
Mortal Kombat 11,Warner Bros. Interactive Entertainment,15.00m,23rd Apr 19,Action,$2.64
Red Dead Redemption,Rockstar Games,15.00m,18th May 10,Action,$40.25
Theme Park,Bullfrog Productions,15.00m,01st Jun 94,Simulation,$2.57
Palworld,Pocketpair,15.00m,19th Jan 24,"Action, Adventure, Early Access + 2",$17.23
Monster Hunter World: Iceborne,Capcom,14.90m,06th Sep 19,Action,$7.05
Halo 3,Microsoft Game Studios,14.50m,25th Sep 07,Action,$9.99
Grand Theft Auto III,Rockstar Games,14.50m,22nd Oct 01,Action,$18.53
Marvel's Spider-Man: Miles Morales,Sony Interactive Entertainment,14.40m,12th Nov 20,"Action, Adventure",$23.59
Resident Evil 6,Capcom,14.30m,02nd Oct 12,"Action, Adventure",$3.58
NBA 2K20,2K Sports,14.00m,06th Sep 19,"Simulation, Sports",$24.58
Mafia,2K Games,14.00m,29th Aug 02,"Action, Adventure",$7.35
Maneater,Tripwire Interactive,14.00m,25th May 21,"Action, Adventure, Indie + 1",$2.96
Resident Evil 4,Capcom,13.60m,11th Jan 05,"Action, Adventure",$13.85
Portal 2,Valve,13.06m,19th Apr 11,"Action, Adventure",$9.99
Cities: Skylines,Paradox Interactive,13.00m,10th Mar 15,"Simulation, Strategy",$7.30
Ghost,Sony Interactive Entertainment,13.00m,17th Jul 20,"Action, Adventure, Indie",$13.99
Fable,Microsoft Game Studios,12.58m,14th Sep 04,"Action, Adventure, RPG",$35.14
Myst,Broderbund,12.50m,24th Sep 93,"Adventure, Casual, Indie",$18.51
Batman: Arkham City,Warner Bros. Interactive Entertainment,12.50m,18th Oct 11,"Action, Adventure",$17.59
Rust,Facepunch Studios,12.48m,08th Feb 18,"Action, Adventure, Indie + 2",$38.18
World of Warcraft,Blizzard Entertainment,12.00m,23rd Nov 04,"Massively Multiplayer, RPG",$13.85
Half-Life 2,VU Games,12.00m,16th Nov 04,Action,$5.80
Left 4 Dead,Valve,12.00m,17th Nov 08,Action,$9.99
Little Nightmares,Bandai Namco Entertainment,12.00m,28th Apr 17,Adventure,$2.87
Assassin's Creed III,Ubisoft,12.00m,30th Oct 12,Adventure,$26.89
NBA 2K19,2K Sports,12.00m,11th Sep 18,"Simulation, Sports",$14.99
Dragon Age: Inquisition,Electronic Arts,12.00m,18th Nov 14,RPG,$3.40
Assetto Corsa,Kunos Simulazioni,12.00m,19th Dec 14,"Indie, Racing, Simulation + 1",$4.05
7 Days to Die,The Fun Pimps,12.00m,13th Dec 13,"Action, Adventure, Indie + 3",$22.23
The Room,Fireproof Games,11.60m,01st Sep 12,"Adventure, Indie",$4.99
Max Payne,Rockstar Games,11.50m,23rd Jul 01,Action,$3.37
Mortal Kombat X,Warner Bros. Interactive Entertainment,11.00m,07th Apr 15,Action,$2.49
BioShock Infinite,2K Games,11.00m,26th Mar 13,Action,$0.45
NBA 2K21,2K Sports,11.00m,04th Sep 20,"Simulation, Sports",Free
Sniper: Ghost Warrior,City Interactive,11.00m,16th Oct 08,Action,$0.71
Detroit: Become Human,Sony Interactive Entertainment,11.00m,25th May 18,"Action, Adventure",$8.79
Marvel's Spider-Man 2,Sony Interactive Entertainment,11.00m,20th Oct 23,"Action, Adventure",$45.63
Deep Rock Galactic,Coffee Stain Publishing,11.00m,13th May 20,Action,$13.28
Rocket League,Psyonix,10.50m,07th Jul 15,"Action, Indie, Racing + 1",Free
Killing Floor,Tripwire Interactive,10.00m,14th May 09,Action,$2.36
Dead Cells,Motion Twin,10.00m,07th Aug 18,"Action, Adventure, Indie",$6.97
The Sims 3,Electronic Arts,10.00m,02nd Jun 09,Simulation,$2.06
Assassin's Creed Unity,Ubisoft,10.00m,11th Nov 14,"Action, Adventure",$6.52
Assassin's Creed Origins,Ubisoft,10.00m,27th Oct 17,"Action, Adventure, RPG",$8.49
Assassin's Creed Odyssey,Ubisoft,10.00m,05th Oct 18,"Action, Adventure, RPG",$8.49
NBA 2K18,2K Sports,10.00m,19th Sep 17,"Simulation, Sports",$26.47
Far Cry 3,Ubisoft,10.00m,04th Dec 12,"Action, Adventure",$3.57
Far Cry 4,Ubisoft,10.00m,18th Nov 14,"Action, Adventure",$5.59
Far Cry 5,Ubisoft,10.00m,27th Mar 18,"Action, Adventure",$5.99
Tom Clancy's Rainbow Six Siege,Ubisoft,10.00m,01st Dec 15,Action,$3.99
Tom Clancy's Ghost Recon Wildlands,Ubisoft,10.00m,07th Mar 17,"Action, Adventure",$9.35
Tom Clancy's The Division 2,Ubisoft,10.00m,15th Mar 19,"Action, Adventure, RPG",$7.49
Valheim,Coffee Stain Publishing,10.00m,02nd Feb 21,"Action, Adventure, Early Access + 2",$15.37
Sekiro: Shadows Die Twice,Activision,10.00m,22nd Mar 19,"Action, Adventure",$59.99
Titanfall,Electronic Arts,10.00m,11th Mar 14,Action,$6.84
NBA 2K22,2K Sports,10.00m,10th Sep 21,"Simulation, Sports",$14.84
Metro Exodus,Deep Silver,10.00m,15th Feb 19,Action,$2.85
Spyro Reignited Trilogy,Activision,10.00m,13th Nov 18,"Action, Adventure",$13.99
Kingdom Come: Deliverance,Deep Silver,10.00m,13th Feb 18,"Action, Adventure, RPG",$5.46
The Binding of Isaac,Edmund McMillen,9.93m,28th Sep 11,"Action, Adventure, Indie + 1",$4.99
Devil May Cry 5,Capcom,9.90m,08th Mar 19,Action,$8.74
Carnival Games,Global Star Software,9.50m,27th Aug 07,Casual,$15.25
Monster Hunter Rise: Sunbreak,Capcom,9.40m,30th Jun 22,Action,$6.92
Half-Life,Sierra Entertainment,9.30m,19th Nov 98,Action,$9.99
Romance of the Three Kingdoms,KOEI,9.20m,10th Dec 85,Strategy,$12.99
Assassin's Creed II,Ubisoft,9.00m,17th Nov 09,"Action, Adventure",$2.54
Battlefield: Bad Company 2,Electronic Arts,9.00m,02nd Mar 10,Action,$26.90
Days Gone,Sony Interactive Entertainment,8.94m,26th Apr 19,"Action, Adventure",$18.13
NBA 2K17,2K Sports,8.50m,20th Sep 16,Sports,$50.02
Alan Wake,Microsoft Game Studios,8.20m,18th May 10,"Action, Adventure",$1.99
Sid Meier's Civilization V,2K Games,8.00m,21st Sep 10,Strategy,$2.28
Cuphead,Studio MDHR,8.00m,29th Sep 17,"Action, Indie",$13.59
NBA 2K16,2K Sports,8.00m,29th Sep 15,Sports,$59.99
Cyberpunk 2077: Phantom Liberty,CD Projekt Red Studio,8.00m,26th Sep 23,RPG,$25.28
Dragon's Dogma: Dark Arisen,Capcom,7.80m,23rd Apr 13,"Action, Adventure, RPG",$2.88
Street Fighter V,Capcom,7.70m,16th Feb 16,Action,$3.69
Magicka,Paradox Interactive,7.66m,25th Jan 11,"Action, RPG",$3.07
Crysis,Electronic Arts,7.50m,13th Nov 07,Action,$5.94
Trine,Nobilis,7.39m,03rd Jul 09,"Action, Adventure",$5.86
The Forest,Endnight Games Ltd,7.30m,30th Apr 18,"Action, Adventure, Indie + 1",$19.99
Battlefield V,Electronic Arts,7.30m,20th Nov 18,Action,$6.01
Guild Wars 2,NCSoft,7.00m,28th Aug 12,"Adventure, Massively Multiplayer, RPG",Free
NBA 2K14,2K Sports,7.00m,01st Oct 13,04 Oct 2013,$36.99
NBA 2K15,2K Sports,7.00m,07th Oct 14,Sports,$58.84
Rise of the Tomb Raider,Square Enix,7.00m,10th Nov 15,"Action, Adventure",$3.21
DiRT,Codemasters,7.00m,19th Jun 07,Racing,$1.29
King's Quest,Sierra Online,7.00m,10th May 84,Adventure,Free
Grim Dawn,Crate Entertainment,7.00m,25th Feb 16,"Action, Adventure, Indie + 1",$6.59
Ben 10,D3 Publisher,6.60m,30th Oct 07,Action,$3.22
Bayonetta,Sega,6.24m,05th Jan 10,"Action, Adventure",$5.07
StarCraft II: Wings of Liberty,Blizzard Entertainment,6.00m,27th Jul 10,Strategy,Free
Dead Space,Electronic Arts,6.00m,13th Oct 08,"Action, Adventure",$15.79
Euro Truck Simulator 2,SCS Software,5.98m,16th Jan 13,"Indie, Simulation",$3.00
Devil May Cry 4,Capcom,5.90m,05th Feb 08,"Action, Adventure",$15.99
Call of Duty 2,Activision,5.90m,25th Oct 05,Action,$11.24
DayZ,Bohemia Interactive,5.80m,13th Dec 18,"Action, Adventure, Massively Multiplayer",$30.58
Dishonored,Bethesda Softworks,5.67m,09th Oct 12,"Action, Adventure",$1.87
Satisfactory,Coffee Stain Studios,5.50m,18th Mar 19,"Adventure, Indie, Simulation + 1",$33.35
NBA 2K11,2K Sports,5.50m,05th Oct 10,"Simulation, Sports",$6.24
Saints Row: The Third,THQ,5.50m,15th Nov 11,Action,$2.47
Chrono,Square,5.45m,11th Aug 95,"Casual, Indie",$2.99
Alien,Fox Interactive,5.36m,01st Jan 82,"Casual, Indie, Simulation",$5.99
Heavy Rain,Sony Computer Entertainment,5.30m,23rd Feb 10,"Action, Adventure",$3.23
Slime Rancher,Monomi Park,5.30m,01st Aug 17,"Action, Adventure, Indie + 1",$3.14
Wolfenstein,Bethesda Softworks,5.27m,01st Sep 81,Action,"$7,988.42"
Subnautica,Unknown Worlds Entertainment,5.23m,23rd Jan 18,"Adventure, Indie",$19.96
Fallout: New Vegas,Bethesda Softworks,5.22m,19th Oct 10,"Action, RPG",$2.09
Kerbal Space Program,Private Division,5.00m,27th Apr 15,"Indie, Simulation",$5.39
The Outer Worlds,Private Division,5.00m,25th Oct 19,RPG,$0.32
Torchlight,Encore,5.00m,27th Oct 09,RPG,$1.38
Crash Bandicoot 4: It's About Time,Activision,5.00m,02nd Oct 20,Action,$19.99
Batman: Arkham Knight,Warner Bros. Interactive Entertainment,5.00m,23rd Jun 15,"Action, Adventure",$1.83
Dead by Daylight,Behaviour Interactive,5.00m,14th Jun 16,Action,$7.48
The Long Dark,Hinterland Studio Inc.,5.00m,01st Aug 17,"Adventure, Indie, Simulation + 1",$10.00
L.A. Noire,Rockstar Games,5.00m,17th May 11,"Adventure, Strategy",$4.58
South Park: The Stick of Truth,Ubisoft,5.00m,04th Mar 14,"Action, Adventure, RPG",$6.44
Close Combat,Microsoft,5.00m,01st Jul 96,Strategy,$5.99
Diablo II: Resurrected,Blizzard Entertainment,5.00m,23rd Sep 21,"Action, RPG",$13.19
Mortal Kombat 1,Warner Bros.,5.00m,19th Sep 23,Action,$15.99
Anthem,Electronic Arts,5.00m,22nd Feb 19,"Action, Adventure, RPG",$4.50
Balatro,Playstack,5.00m,20th Feb 24,"Casual, Indie, Strategy",$9.05
V Rising,Stunlock Studios,5.00m,08th May 24,"Action, Adventure, Massively Multiplayer",$10.43
Resident Evil 2,Capcom,4.96m,21st Jan 98,Action,$9.99
Darksiders,THQ,4.95m,05th Jan 10,"Action, Adventure",$1.70
Capcom Arcade Stadium,Capcom,4.60m,17th Feb 21,Action,Free
Arma 2: Operation Arrowhead,Meridian4,4.51m,29th Jun 10,"Action, Simulation, Strategy",$1.33
Warcraft III: Reign of Chaos,Blizzard Entertainment,4.50m,03rd Jul 02,Strategy,$19.81
ARK: Survival Evolved,Studio Wildcard,4.50m,02nd Jun 15,"Action, Adventure, Indie + 2",$14.99
Dino Crisis,Capcom,4.50m,31st Aug 99,Action,$9.99
This War of Mine,11 bit studios,4.50m,14th Nov 14,"Adventure, Indie, Simulation",$1.49
DmC: Devil May Cry,Capcom,4.50m,15th Jan 13,"Action, Adventure",$1.77
Control,505 Games,4.50m,27th Aug 19,"Action, Adventure",$6.67
Cult of the Lamb,Devolver Digital,4.50m,11th Aug 22,"Action, Adventure, Indie + 1",$7.97
Street Fighter 6,Capcom,4.40m,02nd Jun 23,"Action, Adventure",$20.09
Starbound,"Infocom, Inc.",4.31m,01st Jan 14,"Action, Adventure, Casual + 2",$2.70
Perfect Dark,Rare,4.20m,22nd May 00,"Action, Adventure",$2.49
Just Cause 2,Eidos Interactive,4.16m,23rd Mar 10,"Action, Adventure",$2.12
Shadow of the Tomb Raider,Square Enix,4.12m,14th Sep 18,"Action, Adventure",$4.36
Until Dawn,Sony Computer Entertainment,4.04m,25th Aug 15,Adventure,$53.99
Diablo II,Blizzard Entertainment,4.00m,29th Jun 00,RPG,$6.75
Disney's Aladdin,Sega,4.00m,11th Nov 93,"Action, Adventure",$14.16
Need for Speed: Shift,Electronic Arts,4.00m,15th Sep 09,Racing,$16.52
Need for Speed Rivals,Electronic Arts,4.00m,15th Nov 13,19 Nov 2013,$9.99
Far Cry Primal,Ubisoft,4.00m,23rd Feb 16,"Action, Adventure",$5.28
Max Payne 3,Rockstar Games,4.00m,15th May 12,Action,$5.20
Company of Heroes,THQ,4.00m,12th Sep 06,"Action, Strategy",$3.27
Dead Space 2,Electronic Arts,4.00m,25th Jan 11,"Action, Adventure",$4.29
Phoenix Wright: Ace Attorney Trilogy,Capcom,4.00m,09th Dec 14,Adventure,$7.11
Turok,Acclaim Entertainment,4.00m,04th Mar 97,"Action, Adventure",$2.57
Rocksmith,Ubisoft,4.00m,18th Oct 11,"Casual, Simulation",$77.54
Persona 5 Royal,Sega,4.00m,31st Mar 20,RPG,$18.06
Half-Life 2: Episode One,Electronic Arts,3.92m,01st Jun 06,Action,$4.36
Homefront,THQ,3.80m,15th Mar 11,Action,$2.90
Hitman 2: Silent Assassin,Eidos Interactive,3.71m,01st Oct 02,Action,$0.85
Diablo III: Reaper of Souls,Blizzard Entertainment,3.70m,25th Mar 14,"Action, RPG",$9.99
World of Warcraft: Shadowlands,Blizzard Entertainment,3.70m,24th Oct 20,"Massively Multiplayer, RPG",$2.99
BattleBlock Theater,The Behemoth,3.61m,15th May 14,"Action, Adventure, Casual + 1",$8.52
Hitman: Absolution,Square Enix,3.60m,20th Nov 12,Action,$1.04
Undertale,Toby Fox,3.58m,15th Sep 15,"Indie, RPG",$9.99
A Way Out,Electronic Arts,3.50m,23rd Mar 18,"Action, Adventure, Indie",$5.39
Oddworld: Abe's Oddysee,GT Interactive,3.50m,18th Sep 97,Adventure,$0.65
Elite Dangerous,Frontier Developments,3.50m,16th Dec 14,"Action, Adventure, Massively Multiplayer + 3",$4.69
Duke Nukem 3D,FormGen,3.50m,29th Jan 96,Action,$438.65
Sonic Frontiers,Sega,3.50m,08th Nov 22,"Action, Adventure",$32.19
Dragon's Dogma 2,Capcom,3.50m,22nd Mar 24,"Action, RPG",$24.61
Street Fighter 30th Anniversary Collection,Capcom,3.40m,29th May 18,Action,$2.21
Saints Row 2,THQ,3.40m,14th Oct 08,Action,$1.99
Spintires,IMGN PRO,3.39m,13th Jun 14,"Adventure, Casual, Indie + 2",$2.72
Frostpunk,11 bit studios,3.35m,24th Apr 18,"Simulation, Strategy",$2.84
Half-Life 2: Episode Two,Valve Software,3.28m,10th Oct 07,Action,$5.80
The Room Two,Fireproof Games,3.28m,12th Dec 13,"Adventure, Indie",$4.99
Killer Instinct,Nintendo,3.20m,01st Aug 95,Action,Free
Devil May Cry HD Collection,Capcom,3.20m,22nd Mar 12,Action,$3.82
Dead Rising 2,Capcom,3.20m,28th Sep 10,"Action, Adventure",$2.23
Dragon Age: Origins,Electronic Arts,3.20m,03rd Nov 09,RPG,$7.86
Quake,GT Interactive,3.10m,22nd Jun 96,Action,$2.20
Sid Meier's Civilization IV,2K Games,3.00m,25th Oct 05,Strategy,$2.44
Halo 3: ODST,Microsoft Game Studios,3.00m,22nd Sep 09,Action,$4.99
Left 4 Dead 2,Electronic Arts,3.00m,17th Nov 09,Action,$9.99
Torchlight II,Runic Games,3.00m,20th Sep 12,"Action, Adventure, Indie + 1",$1.56
Space Engineers,Keen Software House,3.00m,28th Feb 19,"Action, Indie, Simulation + 1",$7.94
Squad,Offworld Industries,3.00m,15th Dec 15,"Action, Indie, Massively Multiplayer + 1",$15.92
BioShock 2,2K Games,3.00m,09th Feb 10,Action,$5.95
World War Z,Mad Dog Games,3.00m,16th Apr 19,Action,$6.85
Mass Effect: Andromeda,Electronic Arts,3.00m,21st Mar 17,RPG,$18.76
Bastion,Warner Bros. Interactive Entertainment,3.00m,20th Jul 11,"Action, Indie, RPG",$3.21
Crysis 2,Electronic Arts,3.00m,22nd Mar 11,Action,$4.72
Jurassic World Evolution,Frontier Developments,3.00m,12th Jun 18,"Simulation, Strategy",$3.48
Enter the Gungeon,Devolver Digital,3.00m,05th Apr 16,"Action, Adventure, Indie",$3.71
GRIS,Devolver Digital,3.00m,13th Dec 18,"Adventure, Indie",$2.29
Remnant: From the Ashes,Perfect World Entertainment,3.00m,20th Aug 19,"Action, Adventure, RPG",$5.62
Syberia,Microids,3.00m,09th Jan 02,"Adventure, Casual",$1.67
Middle-earth: Shadow of War,Warner Bros. Interactive Entertainment,3.00m,10th Oct 17,"Action, Adventure, RPG",$2.57
Tales of Arise,Bandai Namco Entertainment,3.00m,10th Sep 21,"Action, RPG",$7.92
Farming Simulator 22,Giants Software,3.00m,22nd Nov 21,Simulation,$7.78
Battlefield 1942,Electronic Arts,3.00m,10th Sep 02,10 Sep 2002,$3.19
Football Manager 2020,Sega,3.00m,18th Nov 19,"Simulation, Sports",$22.95
Manor Lords,Hooded Horse,3.00m,26th Apr 24,"Early Access, Simulation, Strategy",$20.19
Crusader Kings III,Paradox Interactive,3.00m,01st Sep 20,"RPG, Simulation, Strategy",$11.05
Super Meat Boy,Unknown,2.97m,30th Nov 10,Indie,$3.70
Counter-Strike: Condition Zero,Sierra Entertainment,2.90m,23rd Mar 04,Action,$9.99
Okami HD,Capcom,2.90m,30th Oct 12,Adventure,$6.60
Far Cry 2,Ubisoft,2.90m,21st Oct 08,Action,$2.49
Prison Architect,Introversion Software,2.86m,06th Oct 15,"Indie, Simulation, Strategy",$5.38
Tomb Raider: Legend,Eidos Interactive,2.82m,11th Apr 06,"Action, Adventure",$0.97
Thief,Eidos Interactive,2.81m,01st Dec 98,"Action, Adventure",$2.38
Hollow Knight,Team Cherry,2.80m,24th Feb 17,"Action, Adventure, Indie",$8.91
Beyond: Two Souls,Sony Computer Entertainment,2.80m,08th Oct 13,"Action, Adventure",$3.39
Valkyria Chronicles,Sega,2.77m,04th Nov 08,"Action, RPG, Strategy",$4.08
The Binding of Isaac: Rebirth,Nicalis,2.76m,04th Nov 14,Action,$14.99
Ratchet & Clank: Rift Apart,Sony Interactive Entertainment,2.72m,11th Jun 21,"Action, Adventure",$23.69
Resident Evil: Operation Raccoon City,Capcom,2.70m,20th Mar 12,Action,$384.49
Dead Rising 2: Off the Record,Capcom,2.70m,11th Oct 11,"Action, Adventure",$1.31
James Cameron's Avatar: The Game,Ubisoft,2.70m,01st Dec 09,"Action, Adventure",$4.80
Tomb Raider: Underworld,Eidos Interactive,2.62m,18th Nov 08,"Action, Adventure",$0.98
Hotline Miami,Devolver Digital,2.58m,23rd Oct 12,"Action, Indie",$1.79
Mirror's Edge,Electronic Arts,2.54m,11th Nov 08,"Action, Adventure",$3.20
Dungeon Siege,Microsoft,2.52m,05th Apr 02,RPG,$1.61
Warcraft III: The Frozen Throne,Blizzard Entertainment,2.50m,01st Jul 03,Strategy,$41.52
Black & White,Electronic Arts,2.50m,26th Mar 01,"Adventure, Indie, RPG + 1",$14.99
Factorio,Wube Software LTD.,2.50m,01st Jan 16,"Casual, Indie, Simulation + 1",$32.15
Planet Coaster,Frontier Developments,2.50m,17th Nov 16,"Action, Adventure, Casual + 2",$5.65
Dishonored 2,Bethesda Softworks,2.50m,11th Nov 16,Action,$4.38
Prey,Bethesda Softworks,2.50m,11th Jul 06,"Action, Adventure",$2.21
Firewatch,Panic,2.50m,09th Feb 16,"Adventure, Indie",$6.84
